Solar8000/HR,Solar8000/BT,Solar8000/PLETH_SPO2,Solar8000/ART_SBP,Solar8000/RR,time_sec
78.0,,100.0,9.0,,1044
,,,,,1045
,,,,,1046
,,,,,1047
78.0,,100.0,9.0,,1048
,,,,,1049
,,,,,1050
,,,,,1051
69.0,,100.0,9.0,,1052
,,,,,1053
,,,,,1054
,,,,,1055
52.0,,100.0,9.0,,1056
,,,,,1057
,,,,,1058
,,,,,1059
44.0,,100.0,9.0,,1060
,,,,,1061
,,,,,1062
,,,,,1063
68.0,,100.0,10.0,,1064
,,,,,1065
,,,,,1066
,,,,,1067
69.0,,100.0,10.0,,1068
,,,,,1069
,,,,,1070
,,,,,1071
56.0,,100.0,10.0,,1072
,,,,,1073
,,,,,1074
,,,,,1075
56.0,,100.0,10.0,,1076
,,,,,1077
,,,,,1078
,,,,,1079
56.0,,100.0,9.0,,1080
,,,,,1081
,,,,,1082
,,,,,1083
51.0,,100.0,9.0,,1084
,,,,,1085
,,,,,1086
,,,,,1087
62.0,,100.0,9.0,,1088
,,,,,1089
,,,,,1090
,,,,,1091
61.0,,100.0,9.0,,1092
,,,,,1093
,,,,,1094
,,,,,1095
70.0,,100.0,9.0,,1096
,,,,,1097
,,,,,1098
,,,,,1099
76.0,,100.0,9.0,,1100
,,,,,1101
,,,,,1102
,,,,,1103
76.0,,100.0,9.0,,1104
,,,,,1105
,,,,,1106
,,,,,1107
76.0,,100.0,9.0,,1108
,,,,,1109
,,,,,1110
,,,,,1111
76.0,,100.0,9.0,,1112
,,,,,1113
,,,,,1114
,,,,,1115
76.0,,100.0,9.0,,1116
,,,,,1117
,,,,,1118
,,,,,1119
76.0,,100.0,9.0,,1120
,,,,,1121
,,,,,1122
,,,,,1123
75.0,,100.0,9.0,,1124
,,,,,1125
,,,,,1126
,,,,,1127
75.0,,100.0,9.0,,1128
,,,,,1129
,,,,,1130
,,,,,1131
75.0,,100.0,9.0,,1132
,,,,,1133
,,,,,1134
,,,,,1135
75.0,,100.0,9.0,,1136
,,,,,1137
,,,,,1138
,,,,,1139
76.0,,100.0,9.0,,1140
,,,,,1141
,,,,,1142
,,,,,1143
76.0,,100.0,9.0,,1144
,,,,,1145
,,,,,1146
,,,,,1147
77.0,,100.0,9.0,,1148
,,,,,1149
,,,,,1150
,,,,,1151
77.0,,100.0,9.0,,1152
,,,,,1153
,,,,,1154
,,,,,1155
77.0,,100.0,9.0,,1156
,,,,,1157
,,,,,1158
,,,,,1159
76.0,,100.0,9.0,,1160
,,,,,1161
,,,,,1162
,,,,,1163
76.0,,100.0,9.0,,1164
,,,,,1165
,,,,,1166
,,,,,1167
76.0,,100.0,9.0,,1168
,,,,,1169
,,,,,1170
,,,,,1171
76.0,,100.0,9.0,,1172
,,,,,1173
,,,,,1174
,,,,,1175
76.0,,100.0,9.0,,1176
,,,,,1177
,,,,,1178
,,,,,1179
75.0,,100.0,9.0,,1180
,,,,,1181
,,,,,1182
,,,,,1183
75.0,,100.0,9.0,,1184
,,,,,1185
,,,,,1186
,,,,,1187
75.0,,100.0,9.0,,1188
,,,,,1189
,,,,,1190
,,,,,1191
75.0,,100.0,9.0,,1192
,,,,,1193
,,,,,1194
,,,,,1195
75.0,,99.0,9.0,,1196
,,,,,1197
,,,,,1198
,,,,,1199
75.0,,100.0,9.0,,1200
,,,,,1201
,,,,,1202
,,,,,1203
75.0,,100.0,9.0,,1204
,,,,,1205
,,,,,1206
,,,,,1207
75.0,,99.0,9.0,,1208
,,,,,1209
,,,,,1210
,,,,,1211
75.0,,99.0,9.0,,1212
,,,,,1213
,,,,,1214
,,,,,1215
75.0,,99.0,9.0,,1216
,,,,,1217
,,,,,1218
,,,,,1219
75.0,,99.0,9.0,,1220
,,,,,1221
,,,,,1222
,,,,,1223
74.0,,99.0,9.0,,1224
,,,,,1225
,,,,,1226
,,,,,1227
74.0,,99.0,9.0,,1228
,,,,,1229
,,,,,1230
,,,,,1231
74.0,,99.0,9.0,,1232
,,,,,1233
,,,,,1234
,,,,,1235
74.0,,99.0,9.0,,1236
,,,,,1237
,,,,,1238
,,,,,1239
74.0,,99.0,9.0,,1240
,,,,,1241
,,,,,1242
,,,,,1243
74.0,,99.0,9.0,,1244
,,,,,1245
,,,,,1246
,,,,,1247
74.0,,99.0,9.0,,1248
,,,,,1249
,,,,,1250
,,,,,1251
74.0,,99.0,9.0,,1252
,,,,,1253
,,,,,1254
,,,,,1255
74.0,,100.0,17.0,,1256
,,,,,1257
,,,,,1258
,,,,,1259
75.0,,100.0,17.0,,1260
,,,,,1261
,,,,,1262
,,,,,1263
74.0,,100.0,17.0,,1264
,,,,,1265
,,,,,1266
,,,,,1267
73.0,,100.0,9.0,,1268
,,,,,1269
,,,,,1270
,,,,,1271
73.0,,100.0,9.0,,1272
,,,,,1273
,,,,,1274
,,,,,1275
73.0,,100.0,10.0,,1276
,,,,,1277
,,,,,1278
,,,,,1279
73.0,,100.0,18.0,,1280
,,,,,1281
,,,,,1282
,,,,,1283
73.0,,100.0,19.0,,1284
,,,,,1285
,,,,,1286
,,,,,1287
73.0,,100.0,14.0,,1288
,,,,,1289
,,,,,1290
,,,,,1291
73.0,,99.0,14.0,,1292
,,,,,1293
,,,,,1294
,,,,,1295
73.0,,99.0,11.0,,1296
,,,,,1297
,,,,,1298
,,,,,1299
73.0,,99.0,11.0,,1300
,,,,,1301
,,,,,1302
,,,,,1303
73.0,,99.0,13.0,,1304
,,,,,1305
,,,,,1306
,,,,,1307
72.0,,99.0,35.0,,1308
,,,,,1309
,,,,,1310
,,,,,1311
73.0,,99.0,68.0,,1312
,,,,,1313
,,,,,1314
,,,,,1315
73.0,,99.0,43.0,,1316
,,,,,1317
,,,,,1318
,,,,,1319
73.0,,99.0,31.0,,1320
,,,,,1321
,,,,,1322
,,,,,1323
73.0,,99.0,27.0,,1324
,,,,,1325
,,,,,1326
,,,,,1327
73.0,,99.0,12.0,,1328
,,,,,1329
,,,,,1330
,,,,,1331
73.0,,99.0,28.0,,1332
,,,,,1333
,,,,,1334
,,,,,1335
74.0,,99.0,,,1336
,,,,,1337
,,,,,1338
,,,,,1339
74.0,,99.0,,,1340
,,,,,1341
,,,,,1342
,,,,,1343
74.0,,99.0,,,1344
,,,,,1345
,,,,,1346
,,,,,1347
74.0,,99.0,,,1348
,,,,,1349
,,,,,1350
,,,,,1351
74.0,,99.0,,,1352
,,,,,1353
,,,,,1354
,,,,,1355
74.0,,99.0,,,1356
,,,,,1357
,,,,,1358
,,,,,1359
74.0,,99.0,,,1360
,,,,,1361
,,,,,1362
,,,,,1363
74.0,,99.0,,,1364
,,,,,1365
,,,,,1366
,,,,,1367
73.0,,99.0,116.0,,1368
,,,,,1369
,,,,,1370
,,,,,1371
73.0,,99.0,115.0,,1372
,,,,,1373
,,,,,1374
,,,,,1375
73.0,,99.0,114.0,,1376
,,,,,1377
,,,,,1378
,,,,,1379
73.0,,99.0,114.0,,1380
,,,,,1381
,,,,,1382
,,,,,1383
73.0,,99.0,114.0,,1384
,,,,,1385
,,,,,1386
,,,,,1387
73.0,,99.0,112.0,,1388
,,,,,1389
,,,,,1390
,,,,,1391
73.0,,99.0,116.0,,1392
,,,,,1393
,,,,,1394
,,,,,1395
72.0,,99.0,114.0,,1396
,,,,,1397
,,,,,1398
,,,,,1399
73.0,,99.0,112.0,,1400
,,,,,1401
,,,,,1402
,,,,,1403
73.0,,99.0,112.0,,1404
,,,,,1405
,,,,,1406
,,,,,1407
